block,txIndex,logIndex,sender,amount0,amount1,sqrtPriceX96,liquidity,tick,fee
56676851,4,5,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,79858444544935,-193663,3902063657028634723644847,11494586345489,-198382,100
56678601,5,4,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,173003256402711,-420000,3904958280608214259332496,11494586345489,-198367,100
56679625,16,50,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,245984606143795,-598252,3909081401905325564814638,11494586345489,-198346,100
56679630,11,48,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,32359251201900,-78794,3909624446241522882876651,11494586345489,-198343,100
56679664,11,38,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,44662074479371,-108787,3910374201156281843472614,11494586345489,-198339,100
56679910,7,13,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,205003206882655,-499879,3913819340704841685107809,11494586345489,-198322,100
56681988,11,24,0x2411b1e3cc0840aff6b3a28d8bf237855009efa4,-123485849722528,301152,3911743605321213950116674,11494586345489,-198332,100
56683841,9,20,0x389ea62455975d38ee210be146a9262b768ddebf,-193348070065934,470887,3908497939906406681411584,11494586345489,-198349,100
56683861,6,6,0x389ea62455975d38ee210be146a9262b768ddebf,-163975939356948,398741,3905749551903288841994240,11494586345489,-198363,100
56684166,22,82,0x389ea62455975d38ee210be146a9262b768ddebf,-189973700170073,461260,3902570246558898353864704,11494586345489,-198379,100
56684225,6,15,0x389ea62455975d38ee210be146a9262b768ddebf,-167959479536915,407184,3899763668175516323545088,11494586345489,-198394,100
56684333,9,31,0x389ea62455975d38ee210be146a9262b768ddebf,-172214317349581,416891,3896890180438917199691776,11494586345489,-198409,100
56684666,7,9,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,38345165600955,-92791,3897529687414226561343740,11494586345489,-198405,100
56684715,24,57,0x389ea62455975d38ee210be146a9262b768ddebf,-229165283860316,553986,3893711250333924451155968,11494586345489,-198425,100
56685123,8,17,0x389ea62455975d38ee210be146a9262b768ddebf,170096502891113,-411173,3896545028797757617340416,11494586345489,-198410,100
56686158,5,5,0x972655facb8df3cdf40395e4262f874f81674d46,-110000000000000,265916,3894712159954819413914424,11494586345489,-198420,100
56686256,6,4,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-100000000000000,241525,3893047411206809187473999,11494586345489,-198428,100
56686465,8,20,0x389ea62455975d38ee210be146a9262b768ddebf,-179472698096423,432954,3890063208085302645096448,11494586345489,-198444,100
56686540,3,4,0xef740bf23acae26f6492b10de645d6b98dc8eaf3,99501364614673,-240000,3891717278702205236917961,11494586345489,-198435,100
